path	git_blob	sha256	bytes
repo/deploy/migrations/20260707001400_platform_users.sql	7ff21dc10df382cb1524c4627db81d14b4d3718e	f90843753d9b21fc062e799fc1b5773d1a17a0f13258210a07a832d0a00daac1	4120
repo/deploy/migrations/20260707001401_platform_refresh_tokens.sql	72360830910bcb2a7742a2109def2a190c7cb67a	a536c591cb25bb369f152f01b54be0fbc1da4edeb451ead7a006f2506636a78b	2266
repo/deploy/migrations/20260827000200_users_display_name_soft_delete.sql	109573602d1edf9c8821d53591df27a1249f8e96	00b8ffd2d53e5829f901f8f98d3119981ad6e1ff920d8102ffce5036db6fbc57	743
repo/deploy/migrations/20260827_001_user_roles_single_role.sql	22b493b9d6a54c8ad6c0782408a566ab5b6af08b	d35fbe12be439583dc025cebdfe1255bfe39fd8a37e60f8173ef5cd873916272	254
repo/deploy/migrations/20260828000100_database_roles_hardening.sql	e8ec4d0080faea657732137952e9aa70150ab02c	5eb9f2a705e67df8c290d3dcbc9135beaa6dc74c39f108ee6e318d1814341570	2750
repo/deploy/migrations/20260828000200_app_role_privileges.sql	455fa7700b46d3a6e813bace427dc861ea19bf96	ed341f29d78f339af21b7faebaba01a1d74ff46956883a02873b0a2018f8bd8c	4895
repo/deploy/migrations/20260901_001_gpu_chain_remaining_rls_fix.sql	141d9d1edc4ba178d7d3770d4bc3c118bd5c3c76	f77bfa65074280b19429ce43ff2c2154b129ece5eb83adaed6c2bc5b6fad85c8	4063
repo/deploy/migrations/atlas.sum	8d4fddaf91d1bd801e7288513635b4160e979320	175516a68751bc2941f9a3154b6933dacddd74be10b435addef122623d6ac1af	2827
repo/deploy/docker/docker-compose.yml	1e5e87c239f185f8b924725f2d779d01e7ab6261	7c6844cf85c4b1e21155648af7d93ff4a60bc922637c74eb5d5aef1e1c316da8	5904
repo/deploy/docker/config/dex-dev.yaml	ad0ebfd7dd1bd694c98d9259be24f599a2aad4b2	3e6df562afa062f6e5f5b18060f2c6ab2ad1472f44b4a3cb4485484919513153	697
repo/deploy/real-k8s-lab/sprint13-production-auth-dex.yaml	cdc87c2519aefff4a7298f0c50c507c873f7d3e5	328f8b87af00436bcaf99d5842aa3949c1dd6e5b43efedb44d698456168234eb	11003
repo/deploy/real-k8s-lab/sprint13-production-shaped-gateway-deployment.yaml	013350de6bd7789c7ee600406b17c9d7efaaab1a	0cd27e7522447c1630d3e17fd3de7391691fe9e6280bbf32d5792b2471491740	7503
repo/deploy/real-k8s-lab/inference-envoy-ai-gateway-c40.yaml	99da2313a53d623e23706fc9fa8e55b4fab96a13	5944f0fff905725b0d67414a1b0360faac42660749783ee8cf6242f83ee2822d	6127
repo/deploy/real-k8s-lab/inference-incluster-e2e.yaml	7589bbc81780b5cad9a90cd632bff48a88b98ccd	1393d157f8fbfd29a8d7d61d17b661bb0d54eb2b83841b98a6165632da76d359	7388
repo/Makefile	c5b5d113f39878583b61e562b838b8d886bd8730	7d504de0ba52f6124db2bb999e94359aa0011100fc6d8b9cd8ac1faad58a8098	76084
repo/go.work	a5e09e2192bbf7ab4c6ba91b731b47ec34923d82	c1619aa2b3ddf2fb3619278e980ab9ef0a45e2be4d66aa7b3634d001fc3646ff	493
repo/installer/ani-installer/profiles/baremetal.yaml	9fa1a1b9c5016f55ba32eb0b890edff696e3eafb	e5e61df038254442e004019f05d36a84a0e27d927a3af34064fce5e8c93617a9	504
repo/installer/ani-installer/profiles/existing-k8s.yaml	ded517c2f513efb6d2dbf3fe7a0641f6ea9a89d8	fdc22497278ae6b3fbf106ff43f2affee2fe2645e77b556b173c13909897bf9b	511
repo/installer/ani-installer/profiles/vm.yaml	a70b084d5ec84225ac715a669a9eafeabae8aca2	f42e28c5ba626e31ce32388a57f44fdfbe7f8851fb34487a5a2e98ea8e85f336	497
