method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
POST	/volumes	createStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/volumes/{volume_id}	getStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/volumes/{volume_id}	deleteStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PUT	/volumes/{volume_id}/auto-snapshot-policy	setVolumeAutoSnapshotPolicy	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/expand	expandStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/mount	mountStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/os-init-complete	completeVolumeOSInit	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/volumes/{volume_id}/os-init-guide	getVolumeOSInitGuide	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/volumes/{volume_id}/snapshots	listVolumeSnapshots	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/snapshots	createVolumeSnapshot	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/snapshots/{snapshot_id}/create-volume	createStorageVolumeFromSnapshot	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/volumes/{volume_id}/unmount	unmountStorageVolume	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
