method	path	operation_id	operation_id_source	old_policy_source	security	authz_version	resource	action	boundary	principal_kinds
GET	/gpu-inventory/occupancy	getGPUOccupancy	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PATCH	/gpu-inventory/{device_id}	updateGPUDeviceStatus	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-scheduling/queues	listGPUSchedulingQueues	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/gpu-scheduling/queues	createGPUSchedulingQueue	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-scheduling/queues/{queue_id}	getGPUSchedulingQueue	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PATCH	/gpu-scheduling/queues/{queue_id}	updateGPUSchedulingQueue	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/gpu-scheduling/queues/{queue_id}	deleteGPUSchedulingQueue	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-specs	listGPUSpecs	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/gpu-specs	createGPUSpec	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-specs/availability	listGPUSpecAvailability	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/gpu-specs/{spec_id}	getGPUSpec	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/gpu-specs/{spec_id}	deleteGPUSpec	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/healthz	liveness	explicit	public	[]					[]
GET	/instance-operations/{operation_id}	getInstanceOperation	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances	listInstances	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances	createInstance	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}	getInstance	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/console	createInstanceConsoleSession	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/events	listInstanceEvents	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/exec	createInstanceExecSession	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/lifecycle	applyInstanceLifecycle	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/logs	listInstanceLogs	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/logs/stream	streamInstanceLogs	explicit	generated	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	v1	instances	read	tenant	["user","api_key"]
GET	/instances/{instance_id}/metrics	getInstanceMetrics	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/operations	listInstanceOperations	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/sandbox/checkpoints	listSandboxCheckpoints	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/checkpoints	createSandboxCheckpoint	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/checkpoints/{checkpoint_id}/clone	cloneSandboxCheckpoint	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/checkpoints/{checkpoint_id}/restore	restoreSandboxCheckpoint	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/code-runs	createSandboxCodeRun	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/sandbox/files	listSandboxFiles	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/files	writeSandboxFile	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/instances/{instance_id}/sandbox/files	deleteSandboxFile	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/ports	createSandboxPort	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/instances/{instance_id}/sandbox/ports/{port}	deleteSandboxPort	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/instances/{instance_id}/sandbox/tokens	createSandboxToken	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/instances/{instance_id}/security-events	listInstanceSecurityEvents	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters	listK8sClusters	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/k8s-clusters	createK8sCluster	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters/{cluster_id}	getK8sCluster	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/k8s-clusters/{cluster_id}	deleteK8sCluster	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters/{cluster_id}/kubeconfig	getK8sClusterKubeconfig	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters/{cluster_id}/node-pools	listK8sClusterNodePools	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/k8s-clusters/{cluster_id}/node-pools	createK8sClusterNodePool	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters/{cluster_id}/node-pools/{node_pool_id}	getK8sClusterNodePool	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
PATCH	/k8s-clusters/{cluster_id}/node-pools/{node_pool_id}	updateK8sClusterNodePool	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/k8s-clusters/{cluster_id}/node-pools/{node_pool_id}	deleteK8sClusterNodePool	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/k8s-clusters/{cluster_id}/proxy	proxyK8sClusterAPI	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/k8s-clusters/{cluster_id}/upgrade	upgradeK8sCluster	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/k8s-clusters/{cluster_id}/workloads	listK8sClusterWorkloads	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/metering/token-usage	reportTokenUsage	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/metering/usage	getMeteringUsage	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/metering/usage/platform	getPlatformMeteringUsage	explicit	generated	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]	v1	metering	read	platform	["user"]
GET	/networks/load-balancers	listNetworkLoadBalancers	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/load-balancers	createNetworkLoadBalancer	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/load-balancers/{load_balancer_id}	getNetworkLoadBalancer	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/load-balancers/{load_balancer_id}	deleteNetworkLoadBalancer	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/overview	getNetworkOverview	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/routes	listNetworkRoutes	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/routes	createNetworkRoute	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/routes/{route_id}	getNetworkRoute	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/routes/{route_id}	deleteNetworkRoute	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/security-groups	listNetworkSecurityGroups	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
POST	/networks/security-groups	createNetworkSecurityGroup	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
GET	/networks/security-groups/{security_group_id}	getNetworkSecurityGroup	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
DELETE	/networks/security-groups/{security_group_id}	deleteNetworkSecurityGroup	explicit	legacy	[{"BearerAuth":[]},{"ApiKeyAuth":[]}]					[]
